0,1,2,3,4
4.070760643980216e-05,3.851553427786262e-05,3.693375393220882e-05,3.628952176348601e-05,3.445719726955176e-05
4.2119430940604545e-05,4.30892539733588e-05,4.7984798415861853e-05,4.5526854576009726e-05,3.59553362812714e-05
4.023699827286803e-05,4.3570698151832086e-05,3.5770486091824295e-05,3.9588569196530195e-05,4.1049008921118184e-05
2.9177706349915995e-05,2.6960873994503834e-05,2.820924512932485e-05,3.299047433044183e-05,2.936352462970498e-05
3.341317985232316e-05,3.249748204694659e-05,2.7045977288940318e-05,2.8371807924179974e-05,2.6966502210953554e-05
2.3765712430173514e-05,2.1905710120534364e-05,2.1811272007209933e-05,2.5732569977744626e-05,1.5580645721884274e-05
3.411909210272435e-05,3.2016037868473304e-05,3.140823169038231e-05,3.3980188560355084e-05,2.8165013420329266e-05
2.1412671595502868e-05,2.0942821763587798e-05,2.0648004166825403e-05,2.0124189341569515e-05,2.606761880392177e-05
6.706166378811338e-05,7.005012796786263e-05,6.0780744660091684e-05,6.0042663281404124e-05,5.752853805003425e-05
5.482585144782603e-05,5.7773301416793926e-05,6.979607042307179e-05,5.707352059166436e-05,5.633002684065853e-05
3.7883957438197385e-05,3.971914472404583e-05,4.1005191373554676e-05,3.859885496661694e-05,3.985049771174247e-05
6.0473149451035574e-05,6.114341066610691e-05,4.972970017643865e-05,4.750628303583623e-05,3.685421968830319e-05
4.117821460673628e-05,4.59779190441985e-05,4.47858118548044e-05,5.4434282645229014e-05,5.003784299143604e-05
3.7883957438197385e-05,3.249748204694659e-05,3.4607218251439764e-05,3.496990279026834e-05,3.535608067658355e-05
4.000169418940096e-05,4.573719695496186e-05,4.856643233605412e-05,4.255771188626996e-05,4.5543425956277114e-05
7.365017812519118e-05,7.10130163248092e-05,8.259201666730161e-05,7.785751941984272e-05,8.509429586567566e-05
4.5413688109143444e-05,5.247741545358782e-05,5.1474601937015445e-05,5.179504469879367e-05,4.7041564967996755e-05
3.6472132937395e-05,3.538614711778628e-05,3.111741473028617e-05,2.9691426897397644e-05,3.385794166486391e-05
3.929578193899977e-05,4.934802829351148e-05,5.4091954577880636e-05,5.113523521218484e-05,5.842742145706603e-05
3.764865335473032e-05,4.934802829351148e-05,5.205623585720771e-05,4.3547426116183214e-05,4.943858738674818e-05
3.717804518779619e-05,3.875625636709926e-05,5.1474601937015445e-05,3.892875970992136e-05,4.404528694455747e-05
3.764865335473032e-05,4.116347725946568e-05,3.547966913172816e-05,3.727923599339927e-05,4.4644542549245325e-05
3.8119261521664444e-05,4.8144417847328276e-05,3.693375393220882e-05,4.453714034609647e-05,4.3146403537525684e-05
3.200135535152077e-05,2.9608816976106888e-05,4.071437441345855e-05,3.661942650679043e-05,3.835235870002283e-05
2.5883449181377094e-05,2.6960873994503834e-05,3.22806825706707e-05,3.5299807533572755e-05,2.8764269025017125e-05
4.259003910753867e-05,4.6459363222671785e-05,4.158682529374694e-05,3.760914073670368e-05,3.2359802653144267e-05
5.176689836275419e-05,5.9217633952213776e-05,5.758175809903423e-05,5.971275853809971e-05,5.453226002659496e-05
2.2353887929371127e-05,2.8886650708396963e-05,2.995414688990164e-05,2.6062474721049043e-05,3.565570847892748e-05
3.3177875768856093e-05,3.418253667160307e-05,3.780620481249722e-05,2.9361522154093227e-05,2.5468363199233913e-05
7.882686796146661e-05,8.2567676608168e-05,7.764812834566736e-05,7.884723364975597e-05,6.621774431800817e-05
4.353125544140693e-05,4.6459363222671785e-05,4.6530713615381193e-05,4.3877330859487635e-05,4.074938111877426e-05
6.188497395183795e-05,6.884651752167943e-05,6.892361954278339e-05,6.565104391757923e-05,7.101178915551103e-05
3.882517377206564e-05,3.9478422634809186e-05,4.3913360974516e-05,3.859885496661694e-05,4.7640820572684615e-05
5.411993919742483e-05,5.103308291816797e-05,5.0602151056727044e-05,5.542399687514227e-05,6.202295508519317e-05
3.1295443101119575e-05,3.105314951152674e-05,2.733679424903645e-05,2.8041903180875553e-05,2.3670596385170342e-05
4.2825343191005736e-05,4.573719695496186e-05,4.333172705432374e-05,4.68464735492274e-05,4.404528694455747e-05
4.30606472744728e-05,5.3681025899771026e-05,4.333172705432374e-05,3.79390454800081e-05,4.01501255140864e-05
6.423801478650861e-05,6.138413275534355e-05,7.125015522355245e-05,6.993980558053668e-05,6.292183849222496e-05
3.4825004353125546e-05,3.9237700545572544e-05,3.664293697211269e-05,4.189790239966112e-05,2.966315243204891e-05
5.717889228249667e-05,5.969907813068706e-05,6.834198562259113e-05,5.674361584835995e-05,5.0936726398467826e-05
5.482585144782603e-05,6.788362916473286e-05,6.048992769999555e-05,5.4764187388533435e-05,6.172332728284925e-05
3.9060477855532706e-05,4.88665841150382e-05,5.2928686737496105e-05,5.377447315862018e-05,5.633002684065853e-05
6.917940053931696e-05,9.267800435610693e-05,7.415832482451378e-05,7.686780518992946e-05,7.07121613531671e-05
3.623682885392793e-05,4.1644921437938954e-05,4.013274049326628e-05,4.057828342644345e-05,4.4644542549245325e-05
3.953108602246683e-05,4.236708770564888e-05,4.449499489470827e-05,4.1238092913052286e-05,4.3146403537525684e-05
4.329595135793987e-05,4.260780979488552e-05,4.362254401441987e-05,4.057828342644345e-05,5.183560980549961e-05
3.176605126805371e-05,3.707120174244277e-05,3.664293697211269e-05,3.3980188560355084e-05,3.59553362812714e-05
7.717973937719715e-05,8.08826219835115e-05,8.346446754759001e-05,7.686780518992946e-05,7.011290574847924e-05
6.0473149451035574e-05,5.656969097061072e-05,6.339809730095687e-05,6.268190122783947e-05,6.382072189925674e-05
3.223665943498784e-05,3.514542502854964e-05,3.40255843312475e-05,3.727923599339927e-05,4.6442309363308896e-05
4.6354904443011706e-05,4.3329976062595445e-05,4.30409100942276e-05,3.991847393983461e-05,3.925124210705462e-05
4.2119430940604545e-05,4.381142024106873e-05,4.3913360974516e-05,4.288761662957438e-05,3.925124210705462e-05
3.458970026965848e-05,4.116347725946568e-05,4.071437441345855e-05,4.783618777914065e-05,5.60303990383146e-05
3.4825004353125546e-05,3.297892622541987e-05,3.6061303051920424e-05,3.760914073670368e-05,3.265943045548819e-05
5.03550738619518e-05,5.681041305984736e-05,4.013274049326628e-05,3.9588569196530195e-05,3.0861663641424625e-05
3.7883957438197385e-05,4.1885643527175595e-05,4.1296008333650805e-05,4.783618777914065e-05,4.4644542549245325e-05
2.8707098182981867e-05,3.009026115458017e-05,2.7045977288940318e-05,3.892875970992136e-05,2.966315243204891e-05
5.506115553129309e-05,4.59779190441985e-05,4.943888321634252e-05,4.750628303583623e-05,5.303412101487532e-05
4.259003910753867e-05,4.934802829351148e-05,4.856643233605412e-05,5.0805330468880416e-05,4.4344914746901396e-05
4.1648822773670414e-05,4.381142024106873e-05,4.187764225384307e-05,4.3877330859487635e-05,4.194789232814997e-05
3.9766390105933896e-05,4.3570698151832086e-05,4.158682529374694e-05,4.3877330859487635e-05,5.183560980549961e-05
4.094291052326922e-05,4.958875038274812e-05,4.7984798415861853e-05,4.68464735492274e-05,4.5843053758621044e-05
4.141351869020335e-05,4.30892539733588e-05,5.4091954577880636e-05,5.5094092131837856e-05,5.752853805003425e-05
3.3177875768856093e-05,3.129387160076338e-05,3.5770486091824295e-05,3.5629712276877176e-05,3.445719726955176e-05
4.1648822773670414e-05,4.453358650877865e-05,3.111741473028617e-05,4.222780714296554e-05,3.325868606017605e-05
3.458970026965848e-05,3.827481218862598e-05,4.013274049326628e-05,3.299047433044183e-05,4.194789232814997e-05
4.2825343191005736e-05,3.177531577923666e-05,3.4898035211535893e-05,3.760914073670368e-05,3.80527308976789e-05
3.764865335473032e-05,3.971914472404583e-05,3.40255843312475e-05,3.167085535722416e-05,3.475682507189569e-05
8.470947004814322e-05,8.016045571580158e-05,7.212260610384085e-05,7.58780909600162e-05,7.700434520238959e-05
4.2119430940604545e-05,4.742225157961835e-05,4.216845921393921e-05,3.727923599339927e-05,4.074938111877426e-05
2.5883449181377094e-05,3.6108313385496204e-05,3.257149953076683e-05,4.024837868313903e-05,4.1049008921118184e-05
4.329595135793987e-05,4.694080740114507e-05,5.205623585720771e-05,4.6516568805922976e-05,5.033747079377997e-05
5.600237186516135e-05,7.029085005709928e-05,6.339809730095687e-05,6.334171071444831e-05,6.591811651566424e-05
5.459054736435896e-05,4.3570698151832086e-05,4.972970017643865e-05,4.68464735492274e-05,3.955086990939854e-05
3.8589869688598575e-05,3.875625636709926e-05,3.9841923533170145e-05,3.43100933036595e-05,4.4944170351589255e-05
3.4354396186191415e-05,4.0922755170229036e-05,4.47858118548044e-05,4.816609252244507e-05,4.044975331643033e-05
3.670743702086206e-05,4.116347725946568e-05,4.216845921393921e-05,4.024837868313903e-05,3.655459188595926e-05
3.882517377206564e-05,3.8034090099389337e-05,3.431640129134363e-05,3.496990279026834e-05,4.4944170351589255e-05
3.200135535152077e-05,3.7793368010152695e-05,4.216845921393921e-05,3.727923599339927e-05,3.535608067658355e-05
4.1648822773670414e-05,3.707120174244277e-05,4.362254401441987e-05,5.3444568415315764e-05,4.6142681560964967e-05
2.7059969598712415e-05,2.984953906534353e-05,2.6464343368748053e-05,3.496990279026834e-05,3.265943045548819e-05
3.294257168538903e-05,3.755264592091605e-05,3.8387838732689485e-05,3.8268950223312524e-05,3.59553362812714e-05
3.529561252005967e-05,4.934802829351148e-05,3.7515387852401084e-05,5.0475425725575995e-05,3.80527308976789e-05
4.494307994220932e-05,5.319958172129774e-05,6.048992769999555e-05,5.4764187388533435e-05,5.9625932666441744e-05
4.070760643980216e-05,4.5015030687251936e-05,4.333172705432374e-05,4.255771188626996e-05,3.835235870002283e-05
2.635405734831122e-05,2.623870772679391e-05,2.4428624648075127e-05,2.111390357148277e-05,2.8464641222673196e-05
3.270726760192196e-05,3.9237700545572544e-05,3.0244963849997774e-05,4.057828342644345e-05,3.625496408361533e-05
